sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
6145,30.72,30.72,30.836088,0.002401,0,0,-0.1,-10.8,-2.7,1.04,0.17,-0.04
6146,30.725,30.725,30.840053,0.001365,0,0,-0.1,-10.7,-2.8,1.04,0.17,-0.04
6147,30.73,30.73,30.846108,0.00242,0,0,-0.2,-10.7,-3.1,1.04,0.18,-0.04
6148,30.735,30.735,30.850034,0.001347,0,0,-0.3,-10.7,-2.8,1.04,0.18,-0.03
6149,30.74,30.740001,30.855125,0.001436,9.99999997475243e-07,0,-0.3,-10.7,-3,1.03,0.18,-0.04
6150,30.745,30.745,30.861274,0.002587,0,0,-0.3,-10.8,-3.4,1.03,0.18,-0.04
6151,30.75,30.75,30.865037,0.00135,0,0,-0.3,-10.7,-2.9,1.03,0.17,-0.04
6152,30.755,30.755,30.870064,0.001377,0,0,-0.3,-10.7,-3,1.04,0.18,-0.05
6153,30.76,30.76,30.876097,0.00241,0,0,-0.2,-10.7,-3.3,1.03,0.18,-0.04
6154,30.765,30.765,30.881039,0.002352,0,0,-0.2,-10.7,-3,1.03,0.18,-0.04
6155,30.77,30.77,30.885052,0.001365,0,0,-0.3,-10.7,-2.8,1.04,0.18,-0.04
6156,30.775,30.775001,30.890261,0.001573,9.99999997475243e-07,0,-0.3,-10.7,-2.6,1.03,0.18,-0.04
6157,30.78,30.78,30.896065,0.002378,0,0,-0.1,-10.7,-2.1,1.04,0.17,-0.03
6158,30.785,30.785,30.900092,0.001406,0,0,-0.2,-10.7,-3.2,1.03,0.18,-0.04
6159,30.79,30.79,30.90503,0.001342,0,0,-0.3,-10.7,-2.8,1.04,0.18,-0.04
6160,30.795,30.795,30.91117,0.002483,0,0,-0.3,-10.6,-2.8,1.04,0.18,-0.04
6161,30.8,30.8,30.915062,0.001375,0,0,-0.4,-10.6,-2.8,1.04,0.18,-0.04
6162,30.805,30.805,30.92026,0.001573,0,0,-0.3,-10.6,-3.4,1.03,0.19,-0.04
6163,30.81,30.810002,30.925448,0.00176,1.9999999985032e-06,0,-0.3,-10.7,-3.2,1.03,0.19,-0.04
6164,30.815,30.815,30.931434,0.002747,0,0,-0.2,-10.6,-2.4,1.04,0.17,-0.03
6165,30.82,30.82,30.935244,0.001556,0,0,-0.1,-10.6,-2.3,1.04,0.16,-0.03
6166,30.825,30.825001,30.940368,0.001681,1.00000000102796e-06,0,-0.3,-10.7,-2.4,1.04,0.17,-0.03
6167,30.83,30.830002,30.946315,0.002626,1.9999999985032e-06,0,-0.3,-10.7,-2.1,1.05,0.17,-0.03
6168,30.835,30.835,30.950049,0.001362,0,0,-0.4,-10.8,-2.1,1.05,0.17,-0.03
6169,30.84,30.84,30.955424,0.001731,0,0,-0.3,-10.8,-2,1.05,0.17,-0.04
6170,30.845,30.845002,30.961762,0.003074,1.9999999985032e-06,0,-0.2,-10.8,-2.5,1.04,0.18,-0.04
6171,30.85,30.850001,30.966429,0.002741,9.99999997475243e-07,0,-0.3,-10.8,-3.1,1.03,0.19,-0.04
6172,30.855,30.855,30.970524,0.001836,0,0,-0.2,-10.8,-2.7,1.04,0.17,-0.04
6173,30.86,30.86,30.976248,0.002561,0,0,-0.1,-10.8,-2.9,1.04,0.17,-0.04
6174,30.865,30.865001,30.980068,0.00138,9.99999997475243e-07,0,-0.3,-10.8,-2.4,1.04,0.17,-0.04
6175,30.87,30.87,30.98508,0.001393,0,0,-0.3,-10.8,-2.2,1.04,0.17,-0.04
6176,30.875,30.875,30.991163,0.002475,0,0,-0.1,-10.7,-2.4,1.04,0.16,-0.04
6177,30.88,30.88,30.996092,0.002405,0,0,-0.1,-10.7,-2.3,1.04,0.15,-0.04
