sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
2775,13.87,13.870001,13.969681,0.001318,9.999999992516e-07,0,-0.4,-10.8,-2.1,1.04,0.2,-0.03
2776,13.875,13.875001,13.974809,0.001447,9.999999992516e-07,0,-0.2,-10.7,-1.7,1.05,0.18,-0.03
2777,13.88,13.88,13.980732,0.00237,0,0,-0.4,-10.8,-2.2,1.05,0.19,-0.04
2778,13.885,13.885,13.984694,0.001332,0,0,-0.2,-10.8,-2.7,1.04,0.19,-0.04
2779,13.89,13.89,13.989672,0.001311,0,0,-0.2,-10.8,-2.9,1.04,0.19,-0.04
2780,13.895,13.895,13.995683,0.002322,0,0,-0.2,-10.7,-1.6,1.05,0.17,-0.03
2781,13.9,13.9,13.999667,0.001306,0,0,-0.2,-10.6,-2.7,1.04,0.18,-0.04
2782,13.905,13.905001,14.004718,0.001356,9.999999992516e-07,0,-0.2,-10.7,-3.1,1.04,0.18,-0.04
2783,13.91,13.91,14.0107,0.002339,0,0,-0.1,-10.6,-3,1.04,0.18,-0.04
2784,13.915,13.915001,14.015706,0.002344,9.999999992516e-07,0,-0.1,-10.6,-2.3,1.04,0.18,-0.04
2785,13.92,13.92,14.019736,0.001375,0,0,-0.2,-10.7,-2.2,1.05,0.18,-0.03
2786,13.925,13.925002,14.025347,0.001986,1.9999999985032e-06,0,-0.2,-10.6,-2.4,1.04,0.18,-0.03
2787,13.93,13.930001,14.031164,0.002803,1.00000000102796e-06,0,-0.3,-10.6,-2.2,1.04,0.18,-0.03
2788,13.935,13.935002,14.035124,0.001762,2.00000000027956e-06,0,-0.3,-10.5,-2.6,1.04,0.19,-0.03
2789,13.94,13.940005,14.04004,0.001673,4.99999999981071e-06,0,-0.3,-10.6,-3.3,1.04,0.19,-0.04
2790,13.945,13.945,14.045873,0.002512,0,0,-0.3,-10.6,-2.9,1.04,0.2,-0.04
2791,13.95,13.950001,14.050973,0.00261,9.999999992516e-07,0,-0.4,-10.7,-3.2,1.03,0.21,-0.04
2792,13.955,13.955001,14.05503,0.001669,9.999999992516e-07,0,-0.5,-10.7,-2.8,1.04,0.2,-0.03
2793,13.96,13.96,14.060771,0.002409,0,0,-0.4,-10.7,-2.6,1.04,0.19,-0.03
2794,13.965,13.965,14.064696,0.001335,0,0,-0.5,-10.7,-2.9,1.04,0.2,-0.04
2795,13.97,13.97,14.069759,0.001398,0,0,-0.5,-10.6,-2.9,1.05,0.19,-0.04
2796,13.975,13.975,14.075818,0.002456,0,0,-0.4,-10.7,-2.6,1.05,0.19,-0.04
2797,13.98,13.98,14.079713,0.001351,0,0,-0.4,-10.6,-2.1,1.05,0.18,-0.03
2798,13.985,13.985,14.084686,0.001325,0,0,-0.4,-10.5,-2.6,1.04,0.19,-0.04
2799,13.99,13.99,14.09079,0.002429,0,0,-0.4,-10.6,-2.7,1.04,0.19,-0.04
2800,13.995,13.995001,14.095706,0.002344,9.999999992516e-07,0,-0.4,-10.6,-2.2,1.04,0.19,-0.04
2801,14,14,14.099752,0.001391,0,0,-0.4,-10.7,-2.4,1.04,0.19,-0.04
2802,14.005,14.005,14.104902,0.00154,0,0,-0.5,-10.7,-3.3,1.04,0.2,-0.05
2803,14.01,14.01,14.110802,0.002441,0,0,-0.3,-10.7,-3,1.04,0.19,-0.04
2804,14.015,14.015,14.114707,0.001346,0,0,-0.2,-10.6,-3.1,1.04,0.19,-0.05
2805,14.02,14.02,14.119786,0.001425,0,0,-0.3,-10.6,-2.6,1.04,0.19,-0.04
2806,14.025,14.025,14.125804,0.002442,0,0,-0.3,-10.7,-2.5,1.04,0.18,-0.04
2807,14.03,14.030001,14.129709,0.001346,9.999999992516e-07,0,-0.3,-10.6,-2.5,1.04,0.18,-0.04
2808,14.035,14.035,14.134721,0.00136,0,0,-0.3,-10.6,-2.6,1.04,0.18,-0.04
2809,14.04,14.040001,14.14085,0.002488,9.999999992516e-07,0,-0.3,-10.7,-2.4,1.05,0.18,-0.04
2810,14.045,14.045,14.144696,0.001335,0,0,-0.3,-10.7,-3,1.04,0.19,-0.04
2811,14.05,14.050001,14.149837,0.001475,9.999999992516e-07,0,-0.3,-10.8,-2.5,1.04,0.18,-0.04
2812,14.055,14.055,14.155741,0.002381,0,0,-0.2,-10.7,-2.4,1.04,0.18,-0.04
2813,14.06,14.06,14.160759,0.002397,0,0,-0.3,-10.7,-2.9,1.04,0.19,-0.04
2814,14.065,14.065,14.164722,0.00136,0,0,-0.2,-10.6,-2.9,1.03,0.19,-0.04
2815,14.07,14.07,14.170704,0.002343,0,0,-0.3,-10.6,-3,1.03,0.19,-0.04
2816,14.075,14.075001,14.175726,0.002364,9.999999992516e-07,0,-0.4,-10.6,-3.2,1.04,0.2,-0.04
2817,14.08,14.08,14.179708,0.001347,0,0,-0.3,-10.7,-3,1.04,0.2,-0.04
2818,14.085,14.085,14.184797,0.001435,0,0,-0.3,-10.6,-2.5,1.04,0.19,-0.04
2819,14.09,14.09,14.190755,0.002394,0,0,-0.1,-10.6,-2.8,1.04,0.18,-0.04
2820,14.095,14.095,14.194676,0.001314,0,0,-0.3,-10.6,-2.5,1.04,0.19,-0.03
2821,14.1,14.1,14.199718,0.001356,0,0,-0.3,-10.7,-2.8,1.04,0.19,-0.04
2822,14.105,14.105,14.205726,0.002364,0,0,-0.5,-10.8,-2.2,1.05,0.19,-0.04
2823,14.11,14.11,14.2107,0.002338,0,0,-0.3,-10.7,-2.9,1.04,0.19,-0.04
2824,14.115,14.115,14.214703,0.001342,0,0,-0.3,-10.7,-2.4,1.04,0.19,-0.03
2825,14.12,14.120001,14.220813,0.002451,9.999999992516e-07,0,-0.3,-10.6,-2.7,1.04,0.19,-0.03
2826,14.125,14.125,14.225783,0.002421,0,0,-0.3,-10.6,-3,1.03,0.2,-0.04
2827,14.13,14.13,14.229709,0.001347,0,0,-0.2,-10.6,-3.1,1.03,0.19,-0.04
2828,14.135,14.135,14.234828,0.001467,0,0,-0.5,-10.6,-3.2,1.04,0.2,-0.04
2829,14.14,14.14,14.240825,0.002463,0,0,-0.5,-10.7,-3,1.04,0.2,-0.04
2830,14.145,14.145,14.244689,0.001329,0,0,-0.5,-10.7,-3.2,1.04,0.2,-0.04
2831,14.15,14.15,14.249771,0.00141,0,0,-0.3,-10.7,-2.5,1.04,0.19,-0.04
2832,14.155,14.155001,14.255754,0.002392,9.999999992516e-07,0,-0.2,-10.7,-2.7,1.04,0.18,-0.03
2833,14.16,14.16,14.260742,0.00238,0,0,-0.2,-10.7,-2.1,1.05,0.18,-0.03
2834,14.165,14.165002,14.264901,0.001538,1.9999999985032e-06,0,-0.3,-10.8,-1.4,1.05,0.17,-0.03
2835,14.17,14.17,14.270751,0.00239,0,0,-0.3,-10.7,-1.4,1.05,0.17,-0.03
2836,14.175,14.175,14.275727,0.002366,0,0,-0.4,-10.8,-2.1,1.05,0.19,-0.04
2837,14.18,14.18,14.279727,0.001365,0,0,-0.4,-10.8,-2.2,1.05,0.19,-0.04
2838,14.185,14.185,14.284945,0.001584,0,0,-0.4,-10.8,-1.9,1.05,0.18,-0.04
2839,14.19,14.19,14.290875,0.002513,0,0,-0.4,-10.8,-2.1,1.05,0.18,-0.04
2840,14.195,14.195,14.294706,0.001345,0,0,-0.4,-10.8,-2.2,1.04,0.18,-0.04
2841,14.2,14.200001,14.299819,0.001457,9.999999992516e-07,0,-0.5,-10.7,-1.9,1.05,0.19,-0.04
2842,14.205,14.205,14.305739,0.002377,0,0,-0.4,-10.6,-2.5,1.05,0.19,-0.04
2843,14.21,14.21,14.31069,0.002329,0,0,-0.5,-10.7,-2.2,1.05,0.19,-0.04
2844,14.215,14.215,14.314884,0.001523,0,0,-0.6,-10.7,-2.4,1.05,0.19,-0.04
2845,14.22,14.22,14.319861,0.0015,0,0,-0.6,-10.8,-2.9,1.04,0.2,-0.04
2846,14.225,14.225,14.325742,0.002381,0,0,-0.4,-10.8,-2.5,1.04,0.19,-0.04
2847,14.23,14.23,14.329747,0.001386,0,0,-0.3,-10.7,-3.1,1.03,0.19,-0.04
2848,14.235,14.235,14.334736,0.001374,0,0,-0.4,-10.6,-3.1,1.03,0.2,-0.04
2849,14.24,14.24,14.34084,0.002479,0,0,-0.3,-10.7,-2.7,1.04,0.19,-0.04
2850,14.245,14.245001,14.344696,0.001333,9.999999992516e-07,0,-0.4,-10.7,-2.7,1.04,0.2,-0.04
2851,14.25,14.25,14.3497,0.001338,0,0,-0.4,-10.7,-2.2,1.04,0.2,-0.04
2852,14.255,14.255,14.355747,0.002386,0,0,-0.4,-10.7,-2.4,1.05,0.2,-0.04
2853,14.26,14.26,14.360704,0.002342,0,0,-0.4,-10.6,-2.4,1.05,0.19,-0.04
2854,14.265,14.265,14.364805,0.001444,0,0,-0.5,-10.8,-2.7,1.05,0.2,-0.04
2855,14.27,14.27,14.369661,0.0013,0,0,-0.5,-10.8,-2.3,1.05,0.2,-0.04
2856,14.275,14.275,14.375829,0.002467,0,0,-0.7,-10.7,-2.6,1.05,0.21,-0.04
2857,14.28,14.280001,14.379782,0.00142,9.999999992516e-07,0,-0.6,-10.7,-2.8,1.05,0.21,-0.04
2858,14.285,14.285,14.384683,0.001322,0,0,-0.6,-10.8,-2.7,1.05,0.21,-0.04
2859,14.29,14.290001,14.390904,0.002542,9.999999992516e-07,0,-0.7,-10.8,-3.3,1.04,0.21,-0.05
2860,14.295,14.295,14.395714,0.002353,0,0,-0.5,-10.8,-2.7,1.05,0.2,-0.04
2861,14.3,14.3,14.399699,0.001339,0,0,-0.5,-10.8,-2.5,1.05,0.2,-0.04
2862,14.305,14.305,14.405748,0.002387,0,0,-0.6,-10.7,-2.9,1.04,0.2,-0.04
2863,14.31,14.31,14.410755,0.002394,0,0,-0.6,-10.7,-3.1,1.04,0.2,-0.04
2864,14.315,14.315,14.415729,0.002368,0,0,-0.6,-10.7,-2.9,1.04,0.2,-0.04
2865,14.32,14.32,14.419762,0.001401,0,0,-0.6,-10.7,-3.4,1.04,0.2,-0.04
2866,14.325,14.325001,14.425804,0.002441,9.999999992516e-07,0,-0.5,-10.7,-2.9,1.05,0.19,-0.04
2867,14.33,14.33,14.429738,0.001377,0,0,-0.5,-10.7,-2.9,1.05,0.2,-0.04
2868,14.335,14.335,14.434855,0.001493,0,0,-0.5,-10.6,-3.4,1.05,0.2,-0.05
2869,14.34,14.34,14.440757,0.002396,0,0,-0.4,-10.7,-2.8,1.05,0.19,-0.04
2870,14.345,14.345,14.444697,0.001336,0,0,-0.4,-10.7,-3.4,1.05,0.19,-0.04
2871,14.35,14.35,14.449738,0.001377,0,0,-0.3,-10.6,-3,1.04,0.18,-0.04
2872,14.355,14.355,14.454998,0.001638,0,0,-0.4,-10.7,-3.1,1.04,0.19,-0.04
2873,14.36,14.36,14.460764,0.002402,0,0,-0.5,-10.7,-3.8,1.04,0.2,-0.05
2874,14.365,14.365,14.464726,0.001364,0,0,-0.3,-10.7,-2.8,1.05,0.18,-0.04
2875,14.37,14.370001,14.469685,0.001323,9.999999992516e-07,0,-0.4,-10.8,-2.5,1.06,0.18,-0.04
2876,14.375,14.375,14.475756,0.002394,0,0,-0.3,-10.7,-2.7,1.05,0.19,-0.04
2877,14.38,14.38,14.480689,0.002328,0,0,-0.4,-10.7,-2.8,1.05,0.19,-0.04
2878,14.385,14.385,14.484696,0.001335,0,0,-0.4,-10.7,-3,1.04,0.2,-0.04
2879,14.39,14.39,14.489947,0.001586,0,0,-0.4,-10.7,-3,1.04,0.2,-0.04
2880,14.395,14.395,14.495781,0.00242,0,0,-0.2,-10.7,-2.6,1.04,0.18,-0.04
2881,14.4,14.4,14.499741,0.001379,0,0,-0.3,-10.7,-2.3,1.05,0.18,-0.04
2882,14.405,14.405016,14.50484,0.001463,1.59999999986837e-05,0,-0.1,-10.7,-2.1,1.05,0.17,-0.03
2883,14.41,14.410007,14.510766,0.002397,7.00000000009027e-06,0,-0.2,-10.7,-2.4,1.05,0.17,-0.04
2884,14.415,14.415001,14.51475,0.001388,9.999999992516e-07,0,-0.2,-10.6,-2.6,1.05,0.18,-0.04
2885,14.42,14.42,14.51968,0.001319,0,0,-0.4,-10.7,-3.6,1.04,0.2,-0.04
2886,14.425,14.425,14.52575,0.002389,0,0,-0.4,-10.6,-3.4,1.04,0.19,-0.04
2887,14.43,14.43,14.530794,0.002434,0,0,-0.3,-10.6,-3.2,1.05,0.19,-0.05
2888,14.435,14.435,14.534681,0.001321,0,0,-0.5,-10.7,-3.3,1.05,0.2,-0.05
2889,14.44,14.44,14.539948,0.001586,0,0,-0.5,-10.8,-2.9,1.05,0.2,-0.04
2890,14.445,14.445,14.54574,0.002379,0,0,-0.5,-10.8,-2.7,1.05,0.2,-0.04
2891,14.45,14.450001,14.550713,0.002351,9.999999992516e-07,0,-0.4,-10.9,-2.2,1.05,0.2,-0.04
2892,14.455,14.455,14.554889,0.001529,0,0,-0.4,-10.9,-2.1,1.05,0.19,-0.04
2893,14.46,14.46,14.560784,0.002422,0,0,-0.3,-10.8,-2.8,1.05,0.19,-0.04
2894,14.465,14.465,14.565764,0.002402,0,0,-0.4,-10.8,-2.8,1.05,0.19,-0.04
2895,14.47,14.47,14.569667,0.001306,0,0,-0.3,-10.7,-2.6,1.05,0.18,-0.04
2896,14.475,14.475,14.575779,0.002418,0,0,-0.3,-10.7,-2.8,1.04,0.18,-0.04
2897,14.48,14.48,14.580705,0.002344,0,0,-0.3,-10.8,-2.4,1.05,0.18,-0.04
2898,14.485,14.485,14.584715,0.001354,0,0,-0.3,-10.8,-2.4,1.05,0.19,-0.04
2899,14.49,14.49,14.589831,0.001471,0,0,-0.3,-10.7,-2.3,1.05,0.18,-0.04
2900,14.495,14.495001,14.595879,0.002517,9.999999992516e-07,0,-0.3,-10.7,-2.1,1.05,0.18,-0.03
2901,14.5,14.5,14.599697,0.001336,0,0,-0.4,-10.7,-2.7,1.05,0.19,-0.03
2902,14.505,14.505,14.604712,0.001351,0,0,-0.4,-10.7,-2.3,1.05,0.19,-0.03
2903,14.51,14.51,14.610774,0.002413,0,0,-0.4,-10.7,-1.8,1.05,0.19,-0.04
2904,14.515,14.515,14.615704,0.002343,0,0,-0.3,-10.6,-2.1,1.04,0.18,-0.04
2905,14.52,14.52,14.619739,0.001378,0,0,-0.5,-10.7,-2.2,1.05,0.19,-0.03
2906,14.525,14.525,14.624853,0.001491,0,0,-0.5,-10.7,-2.4,1.05,0.19,-0.03
2907,14.53,14.530001,14.630717,0.002355,9.999999992516e-07,0,-0.5,-10.8,-2.8,1.05,0.19,-0.04
2908,14.535,14.535,14.634696,0.001336,0,0,-0.5,-10.7,-2.6,1.05,0.19,-0.04
2909,14.54,14.540001,14.639761,0.001399,9.999999992516e-07,0,-0.5,-10.8,-3,1.05,0.2,-0.04
2910,14.545,14.545,14.645726,0.002364,0,0,-0.5,-10.8,-2.9,1.05,0.19,-0.04
2911,14.55,14.55,14.650685,0.002324,0,0,-0.5,-10.8,-2.4,1.06,0.19,-0.04
2912,14.555,14.555,14.654807,0.001446,0,0,-0.6,-10.8,-2.2,1.06,0.19,-0.04
2913,14.56,14.56,14.659838,0.001477,0,0,-0.6,-10.7,-2.7,1.05,0.19,-0.04
2914,14.565,14.565,14.665706,0.002345,0,0,-0.5,-10.7,-3,1.05,0.2,-0.04
2915,14.57,14.57,14.669678,0.001317,0,0,-0.6,-10.7,-3.3,1.04,0.21,-0.04
2916,14.575,14.575001,14.67476,0.001398,9.999999992516e-07,0,-0.5,-10.7,-3.5,1.04,0.2,-0.04
2917,14.58,14.58,14.680753,0.002393,0,0,-0.5,-10.7,-3.9,1.04,0.21,-0.05
2918,14.585,14.585,14.685725,0.002363,0,0,-0.5,-10.7,-3.7,1.04,0.21,-0.05
2919,14.59,14.59,14.689702,0.001341,0,0,-0.5,-10.8,-3.2,1.05,0.2,-0.04
2920,14.595,14.595,14.695723,0.002362,0,0,-0.4,-10.7,-2.7,1.05,0.19,-0.04
2921,14.6,14.6,14.700729,0.002367,0,0,-0.5,-10.7,-2.5,1.05,0.18,-0.04
2922,14.605,14.605,14.704737,0.001376,0,0,-0.5,-10.7,-2.5,1.05,0.19,-0.04
2923,14.61,14.61,14.70987,0.001509,0,0,-0.4,-10.7,-2.2,1.05,0.18,-0.03
2924,14.615,14.615,14.71574,0.002379,0,0,-0.4,-10.7,-2.1,1.05,0.19,-0.03
2925,14.62,14.620001,14.71974,0.001378,9.999999992516e-07,0,-0.4,-10.7,-2.2,1.05,0.18,-0.03
2926,14.625,14.625,14.724786,0.001424,0,0,-0.3,-10.6,-2.2,1.04,0.18,-0.03
2927,14.63,14.63,14.730803,0.002441,0,0,-0.4,-10.8,-2.7,1.03,0.19,-0.04
2928,14.635,14.635,14.735743,0.002381,0,0,-0.2,-10.8,-2.4,1.04,0.18,-0.04
2929,14.64,14.64,14.739772,0.001411,0,0,-0.2,-10.8,-2.1,1.05,0.18,-0.04
2930,14.645,14.645,14.745745,0.002384,0,0,-0.4,-10.7,-2.6,1.04,0.19,-0.04
2931,14.65,14.65,14.750723,0.002361,0,0,-0.4,-10.7,-2.3,1.05,0.19,-0.03
2932,14.655,14.655001,14.754703,0.001341,9.999999992516e-07,0,-0.4,-10.7,-2.4,1.05,0.19,-0.04
